title,description,lat,lng,created_at,updated_at
"Campo, Ca.",,32.6526051,-116.4716494,,
Boulder Oaks Campground,"04/07/26 (Mobber): Faucets on.
03/17/26 (SoloNotSolo): faucets on
03/13/26 (Duck): spigots flowing, clean pit toilets, power outlets, shade and the famous Cinderelli!
01/20/25 (CamperChris): Spigots flowing
09/19/24 (Monty T): Water flowing from faucets
03/11/24 (MMLM5714): spigots and pit toilets open
03/24/23 (ouch): faucet working, bathroom open
02/06/23 (Erin G): water is on but freezing at night. Only flow when temps rise enough to thaw pipe 
06/02/22 (Moritz): Spigots are on
05/08/22 (Postal): spigots still on
04/17/22 (patches2018): Group thru hiker spot currently open for hikers here. free. water on. camp host is very nice and helpful. bathrooms open. lots of freeway noise.",32.729221,-116.4834161,2022-04-17,2026-04-07
Cibbets Flat Campground,"03/18/26 (SoloNotSolo): faucets on
03/01/24 (coolwhip): campground now open
06/19/23 (Will): water is flowing clear and cool.",32.777462,-116.4466529,2023-06-19,2026-03-18
Long Canyon,"03/19/26 (SoloNotSolo): flowing
03/14/26 (Duck): Multi liters per minute 
04/19/25 (Camper Chris): Water flow sounds excellent.  Did not see it from trail
10/13/24 (Anita S): there is a good stream of fairly clear water running
09/17/24 (Kristen): Good flow still!
03/05/23 (jimmyjamhikes): there's water here if you don't mind postholing to get to it
04/14/22 (stellinastarlet): flowing well",34.298133,-119.177644,2022-04-14,2026-03-19
Lower Morris Mdw,06/01/24 (Warthog): piped spring a trickle and surrounded by stinging thistles.  Cistern/water trough has rotted out and no longer holds water. All the goldfish are dead.,32.8296673,-116.4203681,2024-06-01,2024-06-01
Burnt Rancheria Campground,"03/23/26 (Lana): Campground is closed, no water available, toilets are closed. Check Pine House place
03/14/26 (Duck): Campground closed, water off, restrooms locked.
04/19/25 (Camper Chris): Water at campsites was turned off
05/24/24 (kartoffelbrei): potable water
03/10/24 (toast): spigots off and bathrooms locked
03/26/23 (michele lamelin): burnt rancheria closed, camp host said we could camp nearby so long as she ""doesn't know""
11/14/22 (Bryan): Water off
06/03/22 (Moritz): Spigots are on
05/09/22 (Postal): spigots still on
04/11/22 (Geared Up): Faucets on, camping open, showers closed.",32.8588202,-116.4176863,2022-04-11,2026-03-23
Mount Laguna Visitor Center,"02/24/25 (Monty T): Faucet between Visitor Center and highway running very strong and clean. Great water! 
05/09/22 (Postal): The water spigot just in front of the visitor’s center is on. The water fountains at the restrooms are not.
03/27/22 (tjwoody): spigot to the right the welcome center tastes like pool water, bathrooms to the left",32.8423389,-116.427779,2022-03-27,2025-02-24
Desert View Picnic Area,"04/08/26 (Mobber): Faucet works great!
03/19/26 (SoloNotSolo): faucets on
02/24/25 (Monty T): Water Flowing. Look for multiple faucets. 
09/12/24 (Ghost): the faucet is on
07/26/24 (Monty T): Water running in 100 yards above restroom. Water in rest room for toilets only. Sink not flowing. 
05/09/22 (Semi): Spigot running.
04/15/22 (bhartman30): easy fresh water, restrooms still locked",32.869717,-116.4146452,2022-04-15,2026-04-08
Laguna Campground,"03/19/26 (SoloNotSolo): faucets on
06/03/22 (Moritz): Spigots are on
03/25/22 (emmor): campground is open, quarters needed for shower",32.8870052,-116.4483321,2022-03-25,2026-03-19
Oasis Spring,"03/24/26 (Lana): No visible water that trail crosses. Others said that for oasis spring you have to hike down and there is a lot of water there now.
07/30/22 (tx...2811): Flowing a heavy trickle. Water is cold. Source hidden in dense greens (did not see any oak) but is near trail and audible. Trail to spring is overgrown.",33.7649093,-116.2879537,2022-07-30,2026-03-24
